STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GROUP,Material group,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2017,,24113.568359375,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2021,,2.804362,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2018,,17.78607,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2016,,23672.1640625,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2015,,23609.55078125,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2023,,24424.974609375,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2022,,24497.81640625,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2021,,24164.88671875,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2020,,23387.466796875,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2019,,24206.61328125,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T,Tonnes,TOT,Total,2018,,24301.740234375,,A,Normal value,,,,,,,6,Millions,,,2,Two,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2023,,2.916092,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2015,,2.582442,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2016,,2.625964,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2017,,2.646688,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2018,,2.688664,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2019,,2.74593,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2020,,2.728007,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,USD_T,US dollars per tonne,TOT,Total,2022,,2.858957,,A,Normal value,,,,,,,3,Thousands,Q,Constant prices,3,Three,PPP,PPP converted,2020,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2017,,17.76825,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2016,,17.56436,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2021,,17.45816,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2023,,17.49262,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2022,,17.62714,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2020,,16.93853,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2015,,17.64426,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MATERIAL_RESOURCES@DF_MATERIAL_RESOURCES(1.0),Material flow accounts,I,OECD,OECD,A,Annual,DMC,Domestic Material Consumption,T_PS,Tonnes per person,TOT,Total,2019,,17.60599,,A,Normal value,,,,,,,0,Units,,,3,Three,,,,
